Variable Explanation:

senator- Name of Senator (first last)
party- 0= Republican, 1= Democrat, 2= Independent
sex- 1=Male, 0=Female
trade_date- Date of initial transaction
owner- Owner of the trade (Spouse, Child, or Self=Senator)
ticker- Stock Ticker
type- Purchase or Sale
trade_amount_max- Maximum amount the trade could have been
trade_amount_min- Minimum amount the trade could have been
buy_one_year_change- One year change in value of the stock purchased from the date of transaction
one_mo_vtsax_change- One month change in value of the VTSAX from the date of transaction
one_year_vtsax_change- One year change in value of the VTSAX from the date of transaction
buy_compare_one_year- Change in stock value minus change in VTSAX after one year from date of transaction
one_month_sell- One month change in value of the stock sold from the date of transaction
one_month_sell_compare- Change in stock value minus change in VTSAX after one month from date of transaction
weight- Weighted value of the average between the minimum and maximum amount the trade could have been

Data:

senator,party,sex,trade_date,owner,ticker,type,trade_amount_max,trade_amount_min,buy_one_year_change,one_mo_vtsax_change,one_year_vtsax_change,buy_compare_one_year,one_month_sell,one_month_sell_compare,weight
Thomas Carper,1,1,30dec2020,Spouse,VTRS,Sale,15000,1000,,.009864234,,,-.070049641,-.079913876,1
Thomas Carper,1,1,30dec2020,Spouse,NTAP,Purchase,15000,1000,,.009864234,,,,,1
Thomas Carper,1,1,30dec2020,Spouse,SBIO,Purchase,15000,1000,,.009864234,,,,,1
Thomas Carper,1,1,30dec2020,Spouse,BMY,Purchase,15000,1000,,.009864234,,,,,1
Pat Roberts,0,1,22dec2020,Spouse,BA,Purchase,50000,15000,,.030122406,,,,,4.0599999
Pat Roberts,0,1,22dec2020,Spouse,PLUG,Purchase,15000,1000,,.030122406,,,,,1
Pat Roberts,0,1,22dec2020,Spouse,SQ,Purchase,50000,15000,,.030122406,,,,,4.0599999
Pat Roberts,0,1,22dec2020,Spouse,COST,Purchase,50000,15000,,.030122406,,,,,4.0599999
Pat Roberts,0,1,22dec2020,Spouse,AAPL,Purchase,50000,15000,,.030122406,,,,,4.0599999
James Inhofe,0,1,22dec2020,Self,CRSP,Sale,100000,50000,,.030122406,,,.165863123,.135740718,9.3800001
Pat Roberts,0,1,21dec2020,Spouse,BA,Purchase,50000,15000,,.030341744,,,,,4.0599999
Pat Roberts,0,1,21dec2020,Spouse,NVDA,Purchase,100000,50000,,.030341744,,,,,9.3800001
Pat Roberts,0,1,21dec2020,Spouse,EXPI,Purchase,15000,1000,,.030341744,,,,,1
Pat Roberts,0,1,21dec2020,Spouse,ETY,Sale,250000,100000,,.030341744,,,,,21.879999
Pat Roberts,0,1,21dec2020,Spouse,,Sale,100000,50000,,.030341744,,,,,9.3800001
Pat Roberts,0,1,21dec2020,Spouse,TSLA,Sale,15000,1000,,.030341744,,,,,1
Rick Scott,0,1,17dec2020,Spouse,--,Purchase,1000000,500000,,.024253336,,,,,31.25
Susan Collins,0,0,16dec2020,Spouse,DNKN,Sale,100000,50000,,.033408048,,,,,9.3800001
Pat Roberts,0,1,16dec2020,Spouse,AAPL,Sale,250000,100000,,.033408048,,,.024098271,-.009309777,21.879999
Shelley Capito,0,0,15dec2020,Spouse,WFC,Sale,50000,15000,,.033771508,,,.141607804,.107836296,4.0599999
Thomas Carper,1,1,15dec2020,Spouse,GSMYX,Purchase,15000,1000,,.033771508,,,,,1
Patrick Toomey,0,1,15dec2020,Self,AIV,Purchase,50000,15000,,.033771508,,,,,4.0599999
James Inhofe,0,1,15dec2020,Self,BLK,Sale,100000,50000,,.033771508,,,.113953422,.080181914,9.3800001
Gary Peters,1,1,14dec2020,Self,AEP,Purchase,15000,1000,,.044405935,,,,,1
Pat Roberts,0,1,11dec2020,Spouse,TSLA,Purchase,15000,1000,,.047089319,,,,,1
Patrick Toomey,0,1,08dec2020,Self,NTRP,Purchase,15000,1000,,.007060334,,,,,1
Mark Warner,1,1,07dec2020,Self,--,Purchase,5000000,1000000,,.002685285,,,,,31.25
Pat Roberts,0,1,07dec2020,Spouse,BA,Purchase,50000,15000,,.002685285,,,,,4.0599999
Pat Roberts,0,1,07dec2020,Spouse,TSLA,Purchase,15000,1000,,.002685285,,,,,1
Pat Roberts,0,1,04dec2020,Spouse,BA,Sale,50000,15000,,.001716922,,,,,4.0599999
A. MitchellMcconnell,0,1,03dec2020,Spouse,WFC,Purchase,15000,1000,,.027214572,,,,,1
Pat Roberts,0,1,02dec2020,Spouse,ZM,Purchase,50000,15000,,.023781084,,,,,4.0599999
Patrick Toomey,0,1,02dec2020,Self,NTRP,Purchase,15000,1000,,.023781084,,,,,1
Richard Blumenthal,1,1,02dec2020,,,,,,,.023781084,,,,,
Patrick Toomey,0,1,30nov2020,Self,AIV,Purchase,15000,1000,,.036679113,,,,,1
Thomas Carper,1,1,30nov2020,Spouse,--,Purchase,15000,1000,,.036679113,,,,,1
Thomas Carper,1,1,30nov2020,Spouse,--,Sale,50000,15000,,.036679113,,,,,4.0599999
Thomas Carper,1,1,30nov2020,Spouse,--,Sale,50000,15000,,.036679113,,,,,4.0599999
Rick Scott,0,1,24nov2020,Spouse,--,Purchase,1000000,500000,,.029137912,,,,,31.25
Rick Scott,0,1,24nov2020,Spouse,--,Purchase,1000000,500000,,.029137912,,,,,31.25
Rick Scott,0,1,24nov2020,Spouse,--,Purchase,500000,250000,,.029137912,,,,,31.25
Pat Roberts,0,1,24nov2020,Spouse,COST,Purchase,50000,15000,,.029137912,,,,,4.0599999
Mark Warner,1,1,20nov2020,Self,--,Purchase,100000,50000,,.056402781,,,,,9.3800001
Thomas Carper,1,1,20nov2020,Spouse,,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,QCOM,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,SNPS,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,GOLD,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,OHI,Sale,15000,1000,,.056402781,,,.083405987,.027003206,1
Thomas Carper,1,1,20nov2020,Spouse,WIW,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,ERIC,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,SBIO,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,ARE,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,LGI,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,ABYIX,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,MRVL,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,BRKR,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,MANT,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,ACIW,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,SWKS,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,NUAN,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,AJRD,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,SRVR,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,CONE,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,CEF,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,WW,Sale,15000,1000,,.056402781,,,-.023323615,-.079726396,1
Thomas Carper,1,1,20nov2020,Spouse,XAR,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,GLD,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,GMAB,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,BAH,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,LDP,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,ABBV,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,FDN,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,HBI,Sale,15000,1000,,.056402781,,,.058694057,.002291276,1
Thomas Carper,1,1,20nov2020,Spouse,ATVI,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,FTNT,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,RTH,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,NTLA,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,RODM,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,PTLC,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,PTNQ,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,PTMC,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,DGRS,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,MAXR,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,ARNA,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,GBIL,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,KEYS,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,PAGS,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,CTVA,Sale,15000,1000,,.056402781,,,.060548977,.004146197,1
Thomas Carper,1,1,20nov2020,Spouse,VIAV,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,SI,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,CRWD,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,DD,Sale,15000,1000,,.056402781,,,.140367706,.083964925,1
Thomas Carper,1,1,20nov2020,Spouse,DOW,Sale,15000,1000,,.056402781,,,.016992509,-.039410272,1
Thomas Carper,1,1,20nov2020,Spouse,DDOG,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,EVOP,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,AAPL,Sale,100000,50000,,.056402781,,,.079384694,.022981913,9.3800001
Thomas Carper,1,1,20nov2020,Spouse,GLW,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,HAL,Sale,15000,1000,,.056402781,,,.237735849,.181333068,1
Thomas Carper,1,1,20nov2020,Spouse,PAAS,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,TMO,Purchase,15000,1000,,.056402781,,,,,1
Thomas Carper,1,1,20nov2020,Spouse,LUBFX,Purchase,15000,1000,,.056402781,,,,,1
Jacklyn Rosen,1,0,17nov2020,Joint,PFE,Purchase,15000,1000,,.038858665,,,,,1
Pat Roberts,0,1,17nov2020,Joint,,Purchase,50000,15000,,.038858665,,,,,4.0599999
Mark Warner,1,1,16nov2020,Self,--,Sale,5000000,1000000,,.022707133,,,,,31.25
Pat Roberts,0,1,16nov2020,Spouse,BA,Purchase,50000,15000,,.022707133,,,,,4.0599999
Pat Roberts,0,1,16nov2020,Spouse,,Purchase,50000,15000,,.022707133,,,,,4.0599999
Pat Roberts,0,1,16nov2020,Spouse,DAL,Purchase,15000,1000,,.022707133,,,,,1
Pat Roberts,0,1,16nov2020,Spouse,--,Sale,50000,15000,,.022707133,,,,,4.0599999
Thomas Carper,1,1,16nov2020,Spouse,RIO,Purchase,15000,1000,,.022707133,,,,,1
Pat Roberts,0,1,11nov2020,Spouse,--,Purchase,50000,15000,,.042548402,,,,,4.0599999
Ron Wyden,1,1,10nov2020,Spouse,BYND,Sale,100000,50000,,.060344828,,,.125669946,.065325119,9.3800001
Pat Roberts,0,1,10nov2020,Spouse,DIS,Purchase,15000,1000,,.060344828,,,,,1
Pat Roberts,0,1,09nov2020,Spouse,BA,Sale,50000,15000,,.055555556,,,.327888046,.272332491,4.0599999
Pat Roberts,0,1,09nov2020,Spouse,--,Sale,100000,50000,,.055555556,,,,,9.3800001
Pat Roberts,0,1,09nov2020,Spouse,--,Sale,50000,15000,,.055555556,,,,,4.0599999
William Cassidy,0,1,05nov2020,Spouse,WMT,Sale,15000,1000,,.056592966,,,.040635673,-.015957293,1
William Cassidy,0,1,05nov2020,Spouse,UPS,Sale,15000,1000,,.056592966,,,.026106628,-.030486338,1
William Cassidy,0,1,05nov2020,Spouse,SBUX,Sale,15000,1000,,.056592966,,,.104723019,.048130053,1
William Cassidy,0,1,05nov2020,Spouse,PLD,Sale,15000,1000,,.056592966,,,-.082924065,-.139517031,1
William Cassidy,0,1,05nov2020,Spouse,PG,Sale,15000,1000,,.056592966,,,-.03539823,-.091991196,1
William Cassidy,0,1,05nov2020,Spouse,JPM,Sale,15000,1000,,.056592966,,,.161859128,.105266162,1
